Description,Designator,Footprint,JLCPCB Part #
,,,
"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0805 (2012 Metric)","C1, C2, C3, C4, C12, C14, C15, C16, C17, C18, C19, C20, C23, C24, C25",CAPC2013X95X50LL10T25,C28233
"Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 47uF, X5R, 15%, 20%, 10V","C5, C6, C7, C8, C9",FP-GRM31C-0_2-e0_3_0_8-IPC_C,C76659
CAP CER 10UF 50V X5R 1206,"C10, C11",FP-CL31-IPC_C,C1710
Ceramic Capacitor for Automotive 10nF  ±10% 100VDC X8R 0805 Paper T/R,C13,FP-GCM219-0_15-IPC_C,C1848
"Chip Capacitor, 1 uF, +/- 10%, 25 V, -55 to 125 degC, 1206 (3216 Metric), RoHS, Tape and Reel","C21, C22",CAPC3216X180X50ML20T25,C1848
"Surface Mount Glass Passivated Rectifier, 1000V, 1 A, -65 to 125 degC, 2-Pin SMA Package, RoHS, Tape and Reel","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10",DIOD-S1M-13-F-SMA-2_V,C95872
"LED Yellow, 75 mW, 80 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel",D11,LTST-C170KSKT_V,C2296
"Chip Ferrite Bead Array, 1206, 120O @ 100MHz, 0.02O, 25%, 3.5A",FB1,FP-BLM31-0_2-t1_1-MFG,C85841
"Chip Resistor, 10 KOhm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric)","R1, R11",RESC2013X50X35ML15T15,C17414
1.5kO ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant,R2,FP-RMCF0805-IPC_B,C4310
RES SMD 100 OHM 1% 1/8W 0603,"R3, R4",FP-MCT0603-IPC_B,C23186
"Chip Resistor, 4.7 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric)","R5, R8, R21, RPU1, RPU2, RPU3, RPU4, RPU5, RPU6, RPU7, RPU8",RESC2013X70X40ML20T20,C17673
RES 1.05K OHM 0.5% 1/5W 0805,R6,FP-MCU0805-IPC_C,C17695
220O ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant,R7,FP-RMCF0805-IPC_A,C17557
8K2 0.125W 1% 0805 (2012 Metric)  SMD,R9,RESC0805(2012)_N,C17828
"RES Thick Film, 7.5kO, 1%, 0.5W, 100ppm/°C, 0805",R10,FP-CRCW0805-HPe3-IPC_B,C17807
RES 10kO 5.00% 0.2W 0603,"R12, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31",FP-AC0603-IPC_A,C25804
Thick Film Chip Resistors 0805 300O 0.125W 1% 100ppm/°C ,"R13, R19",FP-CR0805-MFG,C17617
CRGP0805 18KO 0.33W ±100ppm/°C 1% 150V,"R14, R16",FP-CRGP0805-IPC_C,C17506
"1kO ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thin Film",R15,FP-RN73R2A-IPC_A,C17513
RES 1.05K OHM 0.5% 1/5W 0805,"R17, R18",FP-MCU0805-IPC_A,C17604
"RES Thick Film, 200kO, 1%, 0.33W, 100ppm/°C, 0603",R20,FP-CRCW0603-HPe3-MFG,C17617
"RES Thin Film,  2kO, 0.1%, 0.1W, 25ppm/°C, 0603","R32, R33, R34, R35, R36, R37, R38, R39, R40, R41",FP-TFCR0603-IPC_B,C22975
CRGCQ 0603 1K2 1%,R42,FP-CRGCQ0603-IPC_C,C22765
CRGCQ 0603 2K2 1%,R43,FP-CRGCQ0603-IPC_C,C4190
RES 0.05 OHM 1% 3W 2512,SHUNT,FP-CRA2512-IPC_A,C160588
SWITCH TACTILE SPST-NO 0.05A 24V,"START_SW, STOP_SW",FP-2-1977223-2-MFG,C963361